customer_id,sohel_name,last_name,email,age,country,signup_date,total_orders,total_spent,is_active
1,William,Oconnell,karen57@morris-perry.net,58,Saint Lucia,2023-10-17,9,2588.9,1
2,John,Miller,tanya82@gmail.com,25,Sierra Leone,2025-06-11,27,1294.49,0
3,Alexandra,Jackson,ericwright@hotmail.com,19,Falkland Islands (Malvinas),2020-09-13,8,2006.58,1
4,Brenda,Johnson,longcheyenne@gmail.com,65,Ecuador,2023-10-29,2,1283.59,1
5,Heather,Poole,qthomas@atkinson.net,35,Zimbabwe,2021-03-09,19,5405.05,0
6,Steven,Frost,murphysarah@medina-lopez.info,33,Guyana,2024-04-12,23,7645.68,0
7,Sarah,Harrison,pamelagarcia@wright-schneider.info,32,Yemen,2021-03-03,50,1932.98,0
8,Sara,Cruz,edward23@smith.com,26,Kiribati,2024-09-30,2,2242.21,0
9,Randall,Lowe,anthony33@holmes.com,65,Sri Lanka,2025-05-15,22,4893.57,1
10,Charles,Hernandez,stephanieflores@yahoo.com,24,Guernsey,2024-12-29,13,7273.39,1
11,Jacob,Lopez,sherry71@yahoo.com,61,Italy,2021-07-24,43,9768.41,1
12,Leonard,Taylor,morsecrystal@hotmail.com,65,Brunei Darussalam,2023-01-18,15,5293.91,0
13,Diana,Young,luke86@yahoo.com,52,Guyana,2020-09-22,42,2901.69,1
14,Morgan,Jones,charles79@walls-wall.com,23,Latvia,2020-12-08,6,1095.21,1
15,Jessica,Fields,russellconner@yahoo.com,55,Ghana,2023-11-09,22,2021.76,1
16,Lisa,Watkins,conniejackson@gmail.com,45,Solomon Islands,2023-12-27,49,2352.08,1
17,Jeffrey,Conner,allensharon@gmail.com,20,Anguilla,2020-10-22,35,1876.47,1
18,Brenda,Gonzalez,seancarey@pacheco-miles.com,19,Azerbaijan,2020-08-31,26,240.07,0
19,Justin,Cherry,markbennett@gmail.com,23,Ethiopia,2022-09-21,39,5387.94,0
20,Linda,Jackson,zcherry@bernard.com,31,Algeria,2023-11-22,47,2815.68,0
21,Matthew,Glenn,douglas00@gmail.com,32,Croatia,2024-07-27,9,9745.52,0
22,Tonya,Lopez,nthompson@odom.com,50,Cayman Islands,2025-03-27,15,5578.25,1
23,Stephen,White,millerdiane@underwood.com,56,El Salvador,2021-10-23,10,7004.43,0
24,Marisa,Spencer,james69@bell-fitzpatrick.com,19,Spain,2020-10-27,11,1350.17,0
25,Mark,Morse,longjohn@yahoo.com,53,Macedonia,2021-11-02,26,8697.77,0
26,Jesus,Singleton,zacharytorres@harris.com,30,Austria,2020-12-18,1,4959.7,1
27,Charlotte,Ortiz,wardcynthia@yahoo.com,63,Iceland,2023-11-06,11,8739.93,1
28,Michael,Beck,williamsspencer@potter.net,59,Svalbard & Jan Mayen Islands,2021-06-29,47,5783.24,1
29,Amanda,Todd,wilsonjason@hotmail.com,62,Barbados,2023-11-19,21,4747.03,1
30,Jeffrey,White,prubio@gmail.com,52,Antigua and Barbuda,2022-03-17,50,4460.64,1
